"","logFC","logCPM","F","PValue","FDR","gene_name","z","gene_id","ovl_with_cherryetal","gene_id_trimmed","Human_gene_id","HGNC.symbol"
"Aldh1a3",-1.53621332463401,6.02189996682795,369.597659767754,8.29159855129294e-12,8.32926741350266e-08,"Aldh1a3",-6.83341612296591,"ENSMUSG00000015134.15",TRUE,"ENSMUSG00000015134","ENSG00000184254","ALDH1A3"
"Ptgs2",-1.6063947546165,8.17920442287604,356.13115080549,1.07774801947659e-11,8.32926741350266e-08,"Ptgs2",-6.79571747657328,"ENSMUSG00000032487.8",TRUE,"ENSMUSG00000032487","ENSG00000073756","PTGS2"
"Cmah",-1.46352858354677,6.51521525270444,335.361867509199,1.64644448076197e-11,8.32926741350266e-08,"Cmah",-6.73436759871306,"ENSMUSG00000016756.17",TRUE,"ENSMUSG00000016756",NA,NA
"Gfpt2",-1.61212449702122,9.17396239097593,324.076726189038,2.09501789939072e-11,8.32926741350266e-08,"Gfpt2",-6.6992431223926,"ENSMUSG00000020363.6",TRUE,"ENSMUSG00000020363","ENSG00000131459","GFPT2"
"Errfi1",-1.27654607713507,10.2245929576323,291.46120365987,4.41072705857424e-11,1.13003684302579e-07,"Errfi1",-6.58957993735065,"ENSMUSG00000028967.10",TRUE,"ENSMUSG00000028967","ENSG00000116285","ERRFI1"
"Crabp2",1.70121109417528,4.9845323485283,285.741643870176,5.0670352921102e-11,1.13003684302579e-07,"Crabp2",6.56895276619328,"ENSMUSG00000004885.5",TRUE,"ENSMUSG00000004885","ENSG00000143320","CRABP2"
"Abca6",-1.30116505078535,6.36733018139419,285.566039100195,5.08887424450163e-11,1.13003684302579e-07,"Abca6",-6.56831225180216,"ENSMUSG00000044749.13",TRUE,"ENSMUSG00000044749","ENSG00000154262","ABCA6"
"Pcolce2",-2.00670522624011,7.58558450442819,275.201847089209,6.58939619098948e-11,1.13003684302579e-07,"Pcolce2",-6.52971726408359,"ENSMUSG00000015354.8",TRUE,"ENSMUSG00000015354","ENSG00000163710","PCOLCE2"
"Fgf10",-1.97440466615074,5.12733819137958,274.646345797155,6.68303539085971e-11,1.13003684302579e-07,"Fgf10",-6.52760343788943,"ENSMUSG00000021732.14",TRUE,"ENSMUSG00000021732","ENSG00000070193","FGF10"
"Tek",-1.77386208310414,6.76511392548414,272.24390027679,7.10580923741302e-11,1.13003684302579e-07,"Tek",-6.5184067444345,"ENSMUSG00000006386.15",TRUE,"ENSMUSG00000006386","ENSG00000120156","TEK"
"Dpp4",-1.62369684275715,7.69356206542345,255.92410685578,1.0932724403647e-10,1.58057378355635e-07,"Dpp4",-6.4534567079131,"ENSMUSG00000035000.8",TRUE,"ENSMUSG00000035000","ENSG00000197635","DPP4"
"Fgf2",-1.25593245836464,5.62562248503564,231.719643791463,2.17878831841552e-10,2.84986678611533e-07,"Fgf2",-6.34817875705988,"ENSMUSG00000037225.13",TRUE,"ENSMUSG00000037225","ENSG00000138685","FGF2"
